"","MM","GS","group"
"A1BG",0.577301709786087,0.216425793580018,FALSE
"A1CF",0.739635394266149,0.160631143239404,TRUE
"AADAC",0.782072075132439,0.222570770000736,TRUE
"AASS",0.63179080383373,0.160755431692313,TRUE
"ABAT",0.847126657643408,0.225910897662144,TRUE
"ABCA6",0.793841048179913,0.212351272514398,TRUE
"ABCB11",0.773853732119693,0.262324130792564,TRUE
"ABCB4",0.821063027772337,0.208971759880895,TRUE
"ABCC2",0.623188434515182,0.152747641519271,TRUE
"ABCC6",0.831180416660192,0.222475754718778,TRUE
"ABCG2",0.56810523567293,0.122782433870441,FALSE
"ABCG5",0.774947490144233,0.26629141066217,TRUE
"ABCG8",0.761500350895321,0.249478489039699,TRUE
"ABHD6",0.713237058975069,0.124314319552424,FALSE
"ABI2",0.616342633615246,0.16515383088622,TRUE
"ACAA1",0.714117746845272,0.205906600407165,TRUE
"ACAA2",0.677539274178829,0.154630646415832,TRUE
"ACACB",0.570359388542161,0.0982365158848278,FALSE
"ACADL",0.613549587481777,0.181674337710825,TRUE
"ACADM",0.619079061705797,0.106263458198464,FALSE
"ACADSB",0.723576987664662,0.19055134476648,TRUE
"ACAT1",0.682939688258999,0.264522192003509,TRUE
"ACBD4",0.737798118400912,0.20002580849916,TRUE
"ACKR2",0.761992384622352,0.159749605010554,TRUE
"ACMSD",0.629648296238929,0.206778718498541,TRUE
"ACOT12",0.763124168577247,0.281241985298213,TRUE
"ACOT13",0.665018389484317,0.170406030976818,TRUE
"ACOT2",0.608288199813839,0.138182281953816,FALSE
"ACOT4",0.696838782329927,0.173337278722025,TRUE
"ACOX1",0.755367076937382,0.167434252462504,TRUE
"ACOX2",0.85588019072566,0.232445922479037,TRUE
"ACSF2",0.613862741367073,0.200689741280274,TRUE
"ACSL1",0.720739091984054,0.171977535932544,TRUE
"ACSL5",0.612592793965891,0.0690845846205376,FALSE
"ACSM2A",0.908083178324084,0.243783391271772,TRUE
"ACSM2B",0.893701528471484,0.22429571988407,TRUE
"ACSM5",0.748537588327657,0.195666711668663,TRUE
"ACY3",0.646108646220042,0.201464996613786,TRUE
"ADGRG7",0.553957777657637,0.137156084877386,FALSE
"ADH1A",0.702355329156067,0.208059684058313,TRUE
"ADH1B",0.771404473984609,0.172560645715484,TRUE
"ADH1C",0.576349709436263,0.201113417080693,FALSE
"ADH4",0.69744726928456,0.215588933903249,TRUE
"ADH5",0.59052848215503,0.0761795601435182,FALSE
"ADH6",0.800016430224473,0.208328919751139,TRUE
"ADHFE1",0.703913791989837,0.277528785328332,TRUE
"ADI1",0.764010401187987,0.184759997055992,TRUE
"ADK",0.57754309939525,0.108129797280995,FALSE
"ADORA2A",0.536468098125336,0.142995116273822,FALSE
"ADORA2A.AS1",0.711550233966877,0.218818773807758,TRUE
"ADRB2",0.678508001510623,0.196485832071627,TRUE
"AFM",0.756009636992941,0.243726750319687,TRUE
"AFMID",0.605964581753488,0.0871008516101055,FALSE
"AGMAT",0.7288934356437,0.200699202950149,TRUE
"AGMO",0.801759410962139,0.219600593455786,TRUE
"AGT",0.443505475396611,0.110515518049946,FALSE
"AGXT",0.811666720748988,0.239211677063012,TRUE
"AGXT2",0.736970195008986,0.265557068194612,TRUE
"AHSG",0.714860628098804,0.210914099235702,TRUE
"AIG1",0.673490874978269,0.207379422699963,TRUE
"AKR1C4",0.677886386768225,0.2220246832665,TRUE
"AKR1D1",0.646417907468144,0.235821988741391,TRUE
"AKR7A3",0.594980235400506,0.204503734963424,FALSE
"ALAD",0.706420599579854,0.161160744456765,TRUE
"ALAS1",0.689808167413926,0.19793238713776,TRUE
"ALB",0.667038973565719,0.210651755002911,TRUE
"ALDH1A1",0.656643599169993,0.194276624713404,TRUE
"ALDH1L1",0.683731616788013,0.205511608553107,TRUE
"ALDH1L1.AS2",0.563016329109777,0.18974386935323,FALSE
"ALDH2",0.832836246518015,0.245536427249802,TRUE
