"","MM","GS","group"
"A1BG",0.577301709786087,0.208514357816654,FALSE
"A1CF",0.739635394266149,0.146148620684514,FALSE
"AADAC",0.782072075132439,0.197214236121043,TRUE
"AASS",0.63179080383373,0.174457128103088,TRUE
"ABAT",0.847126657643408,0.209706013402169,TRUE
"ABCA6",0.793841048179913,0.165080706906197,TRUE
"ABCB11",0.773853732119693,0.23240515253014,TRUE
"ABCB4",0.821063027772337,0.193387429240253,TRUE
"ABCC2",0.623188434515182,0.15165661615429,TRUE
"ABCC6",0.831180416660192,0.214406819714323,TRUE
"ABCG2",0.56810523567293,0.0791286329690997,FALSE
"ABCG5",0.774947490144233,0.22266041359329,TRUE
"ABCG8",0.761500350895321,0.207077927300392,TRUE
"ABHD6",0.713237058975069,0.135609625329234,FALSE
"ABI2",0.616342633615246,0.148400036466722,FALSE
"ACAA1",0.714117746845272,0.207967277718557,TRUE
"ACAA2",0.677539274178829,0.138132104263017,FALSE
"ACACB",0.570359388542161,0.076166453826791,FALSE
"ACADL",0.613549587481777,0.150197400465687,TRUE
"ACADM",0.619079061705797,0.0885081425159786,FALSE
"ACADSB",0.723576987664662,0.217467009342664,TRUE
"ACAT1",0.682939688258999,0.252554296289356,TRUE
"ACBD4",0.737798118400912,0.185967541555434,TRUE
"ACKR2",0.761992384622352,0.157985329705254,TRUE
"ACMSD",0.629648296238929,0.17258511230303,TRUE
"ACOT12",0.763124168577247,0.259911506346656,TRUE
"ACOT13",0.665018389484317,0.164679834403956,TRUE
"ACOT2",0.608288199813839,0.145184357365554,FALSE
"ACOT4",0.696838782329927,0.178012515348198,TRUE
"ACOX1",0.755367076937382,0.124983700763631,FALSE
"ACOX2",0.85588019072566,0.212841284404952,TRUE
"ACSF2",0.613862741367073,0.191224316392257,TRUE
"ACSL1",0.720739091984054,0.146832691779137,FALSE
"ACSL5",0.612592793965891,0.0819290612090699,FALSE
"ACSM2A",0.908083178324084,0.210130109012761,TRUE
"ACSM2B",0.893701528471484,0.189996933356878,TRUE
"ACSM5",0.748537588327657,0.178204340625486,TRUE
"ACY3",0.646108646220042,0.146569318354424,FALSE
"ADGRG7",0.553957777657637,0.0818431583201726,FALSE
"ADH1A",0.702355329156067,0.202852435968528,TRUE
"ADH1B",0.771404473984609,0.166188645634329,TRUE
"ADH1C",0.576349709436263,0.168587148301384,FALSE
"ADH4",0.69744726928456,0.225005075620325,TRUE
"ADH5",0.59052848215503,0.0828601953917075,FALSE
"ADH6",0.800016430224473,0.198361098550489,TRUE
"ADHFE1",0.703913791989837,0.271767855260461,TRUE
"ADI1",0.764010401187987,0.173537102125935,TRUE
"ADK",0.57754309939525,0.134495599859795,FALSE
"ADORA2A",0.536468098125336,0.136243308007946,FALSE
"ADORA2A.AS1",0.711550233966877,0.203528191064776,TRUE
"ADRB2",0.678508001510623,0.187226908591797,TRUE
"AFM",0.756009636992941,0.222524997884821,TRUE
"AFMID",0.605964581753488,0.0978420646467607,FALSE
"AGMAT",0.7288934356437,0.195709651292224,TRUE
"AGMO",0.801759410962139,0.196317585723064,TRUE
"AGT",0.443505475396611,0.172833590477087,FALSE
"AGXT",0.811666720748988,0.227774170998166,TRUE
"AGXT2",0.736970195008986,0.228345761859398,TRUE
"AHSG",0.714860628098804,0.216104533100435,TRUE
"AIG1",0.673490874978269,0.172418910582578,TRUE
"AKR1C4",0.677886386768225,0.183162233129844,TRUE
"AKR1D1",0.646417907468144,0.202809245060626,TRUE
"AKR7A3",0.594980235400506,0.172312006394399,FALSE
"ALAD",0.706420599579854,0.140914979069166,FALSE
"ALAS1",0.689808167413926,0.190644898297728,TRUE
"ALB",0.667038973565719,0.201638963921886,TRUE
"ALDH1A1",0.656643599169993,0.133112772253887,FALSE
"ALDH1L1",0.683731616788013,0.183523811093671,TRUE
"ALDH1L1.AS2",0.563016329109777,0.187024948227639,FALSE
"ALDH2",0.832836246518015,0.227739373565978,TRUE
"ALDH3A2",0.56808394230785,0.117438696693653,FALSE
"ALDH4A1",0.616847576478196,0.226395293541021,TRUE
"ALDH5A1",0.823777526153762,0.195999838553907,TRUE
"ALDH6A1",0.821069929563873,0.18177234290199,TRUE
"ALDH7A1",0.730232761453619,0.221501422515003,TRUE
"ALDH7A1P1",0.520690512926264,0.0985046279519932,FALSE
"ALDH8A1",0.697156914931353,0.201790809226092,TRUE
"ALDH9A1",0.679743282612644,0.124776161744318,FALSE
"ALDOB",0.73007163503069,0.187552746078763,TRUE
"AMBP",0.739706204489,0.217335131293216,TRUE
"AMDHD1",0.75941465155591,0.255518267244936,TRUE
"ANG",0.732266704637098,0.242823177046643,TRUE
"ANGPTL3",0.762809074426,0.208005838637734,TRUE
"ANGPTL8",0.393294653876263,0.118699379720507,FALSE
"ANKRD13D",0.623951875328411,0.0737987117169575,FALSE
"ANKS4B",0.575143038712475,0.102355514867531,FALSE
"ANXA10",0.608493233972465,0.181978916261637,TRUE
"ANXA6",0.555974060620743,0.133391423977834,FALSE
"AOX1",0.567547482367626,0.146574809801386,FALSE
"APOA1",0.663311808122795,0.200950514844091,TRUE
"APOA2",0.673197715912032,0.233844796575098,TRUE
"APOA5",0.807731792841904,0.159030541505722,TRUE
"APOB",0.75624643752131,0.172220212354977,TRUE
"APOC1",0.683969823325084,0.178930277663205,TRUE
"APOC2",0.575280349826021,0.174191365361431,FALSE
"APOC3",0.84245159181345,0.202902747473414,TRUE
"APOE",0.588270387269743,0.164768344154145,FALSE
"APOF",0.739188286175798,0.264769782692947,TRUE
"APOH",0.731546382581712,0.216496104337481,TRUE
"APOM",0.621271846555752,0.22274182908215,TRUE
"AQP11",0.651973347708983,0.157517319142169,TRUE
"AQP9",0.816637952868005,0.188018988526833,TRUE
"AR",0.733107887978038,0.174714853739318,TRUE
"ARF3",0.55824462068941,0.114967152605945,FALSE
"ARG1",0.666673715215053,0.190398618231858,TRUE
"ARHGEF2",0.589499562886538,0.0806899662427346,FALSE
"ARID3C",0.746460744869907,0.238113981346641,TRUE
"ARMC9",0.587888278725424,0.11940423435038,FALSE
"ASGR1",0.732682728310142,0.225591561834202,TRUE
"ASGR2",0.607589927129185,0.224253383867684,TRUE
"ASL",0.596782166673029,0.246417422968187,FALSE
"ASMTL",0.557111830110081,0.177815657965368,FALSE
"ASPDH",0.846091958965389,0.238403481712698,TRUE
"ATF7IP2",0.683611866822986,0.162443380239623,TRUE
"ATP2B2",0.427210241222258,0.158171289752759,FALSE
"AZGP1",0.824059674233443,0.209490178878085,TRUE
"AZGP1P2",0.645553510993281,0.164155120909553,TRUE
"BAAT",0.749419989413986,0.14327086894602,FALSE
"BAK1",0.573240949750163,0.165608340334651,FALSE
"BCKDHB",0.651351524539425,0.159361661241756,TRUE
"BDH1",0.839761352452575,0.293497706411536,TRUE
"BHMT",0.754806514895169,0.15682445312494,TRUE
"BHMT2",0.732933985160518,0.181586602456546,TRUE
"BLVRB",0.527742718486987,0.129368725265347,FALSE
"BNIP3",0.618380414451619,0.114961589789211,FALSE
"BPHL",0.736436946893395,0.173534430100354,TRUE
"BTD",0.717023356240295,0.131599731069464,FALSE
"C11orf54",0.683204360535908,0.158319145023077,TRUE
"C11orf71",0.593454286599955,0.0759711500317824,FALSE
"C15orf39",0.608374949291304,0.145688208602054,FALSE
"C1orf115",0.679460311201814,0.182818107261994,TRUE
"C1R",0.540716966474919,0.124700756703751,FALSE
"C1RL",0.551447390576574,0.177265604652341,FALSE
"C1S",0.684417881913845,0.182159306341519,TRUE
"C2",0.559966740036448,0.169798257052621,FALSE
"C2orf72",0.510362028035868,0.128722964960472,FALSE
"C3",0.639729015793089,0.19627087317851,TRUE
"C3orf85",0.597248015171707,0.152014327746822,FALSE
"C4BPA",0.686985901522435,0.215138155679396,TRUE
"C4BPB",0.746622503499409,0.208766945655282,TRUE
"C5",0.513593096328796,0.179764339699049,FALSE
"C6",0.682703684087187,0.168603913875851,TRUE
"C8A",0.839410136252554,0.19601568919678,TRUE
"C8B",0.785730268075096,0.179274696687614,TRUE
"C8G",0.572976789188467,0.196401642877244,FALSE
"CA5A",0.714482278974666,0.243413811535488,TRUE
"CA9",0.642016841799895,0.255337838441866,TRUE
"CADM1",0.601892126823666,0.168042308275053,TRUE
"CALB2",0.585189392368911,0.145735168467256,FALSE
"CAMSAP3",0.341047843250688,0.0973778550352332,FALSE
"CAT",0.812293437496899,0.191045660530223,TRUE
"CBR1",0.599237836842372,0.13355480021783,FALSE
"CCDC38",0.502745537742588,0.235288560708761,FALSE
"CCDC74B",0.660205493946068,0.168026518890921,TRUE
"CCL15",0.463684000563542,0.139086821775141,FALSE
"CCL16",0.798990615141709,0.229862127181978,TRUE
"CCT8P1",0.50932871302212,0.186382746915985,FALSE
"CD14",0.603610446590602,0.171024352554176,TRUE
"CDH23",0.611793188908011,0.10927955872647,FALSE
"CDHR5",0.70161190010568,0.186876107207959,TRUE
"CDK16",0.630047466916208,0.199524808932533,TRUE
"CDO1",0.818205522234427,0.227438582113138,TRUE
"CEACAM1",0.537772064561789,0.208909478998874,FALSE
"CECR2",0.58376545803654,0.173213412230671,FALSE
"CES1",0.704369207349778,0.105058710719803,FALSE
"CES2",0.809405715650169,0.181545141989257,TRUE
"CES3",0.664167222113973,0.163985213040877,TRUE
"CES4A",0.562264400630049,0.0845012009678931,FALSE
"CFAP57",0.566436481477751,0.0987043624496269,FALSE
"CFH",0.60535238732715,0.226863065878271,TRUE
"CFHR1",0.528366287287976,0.203970731309046,FALSE
"CFHR2",0.845532157036814,0.241582213470323,TRUE
"CFHR3",0.610340944157465,0.253016162111401,TRUE
"CFHR4",0.772081785783901,0.259827923149163,TRUE
"CFHR5",0.680383115822514,0.165313340505993,TRUE
"CFL2",0.667425198166877,0.0953488440120012,FALSE
"CGNL1",0.586709880727008,0.13949665265354,FALSE
"CHAD",0.73478863857995,0.170982485816088,TRUE
"CHMP3",0.604242948515111,0.200407682273182,TRUE
"CHPT1",0.7046159341244,0.162829786386857,TRUE
"CHST13",0.381998975523493,0.0951339059905153,FALSE
"CLDN14",0.641195456427343,0.217284782884609,TRUE
"CLPX",0.646235972375289,0.186312633355352,TRUE
"CLYBL",0.649947060108664,0.260653283234109,TRUE
"CMBL",0.708188156025061,0.128945996453799,FALSE
"CMTM8",0.566813149408292,0.145987505461625,FALSE
"CNGA1",0.460258993702298,0.195006448287149,FALSE
"COBLL1",0.624532214634061,0.140462064375006,FALSE
"COL18A1",0.633399015695703,0.202830875893241,TRUE
"COL9A2",0.61964650468899,0.139797930757075,FALSE
"COQ10A",0.616861314450528,0.164173342453553,TRUE
"CP",0.530049639365643,0.113107975746696,FALSE
"CPB2",0.826263997840456,0.260263755737339,TRUE
"CPN1",0.599267855455879,0.188099144371564,FALSE
"CPN2",0.849379022189174,0.211804150707186,TRUE
"CPS1",0.636570219027757,0.21795090518493,TRUE
"CPT2",0.663325501682032,0.121261658255983,FALSE
"CRADD",0.696154559506734,0.144088859616391,FALSE
"CRAT",0.681529891857549,0.0951095231088256,FALSE
"CREB3L3",0.595484172410553,0.146768587708808,FALSE
