"","MM","GS","group"
"A1BG",0.577301709786087,0.0999629632097413,FALSE
"A1CF",0.739635394266149,0.114472164909794,FALSE
"AADAC",0.782072075132439,0.172401612695061,TRUE
"AASS",0.63179080383373,0.229865789408039,TRUE
"ABAT",0.847126657643408,0.253134388942218,TRUE
"ABCA6",0.793841048179913,0.201543059243541,TRUE
"ABCB11",0.773853732119693,0.152503235195514,TRUE
"ABCB4",0.821063027772337,0.297837920193852,TRUE
"ABCC2",0.623188434515182,0.0433078026654419,FALSE
"ABCC6",0.831180416660192,0.217726587362031,TRUE
"ABCG2",0.56810523567293,0.14411909024481,FALSE
"ABCG5",0.774947490144233,0.151787973702425,TRUE
"ABCG8",0.761500350895321,0.149763703763695,FALSE
"ABHD6",0.713237058975069,0.18595239245727,TRUE
"ABI2",0.616342633615246,0.199906234083497,TRUE
"ACAA1",0.714117746845272,0.23125362495301,TRUE
"ACAA2",0.677539274178829,0.330481979850708,TRUE
"ACACB",0.570359388542161,0.22995195973786,FALSE
"ACADL",0.613549587481777,0.261027531710039,TRUE
"ACADM",0.619079061705797,0.32510405902266,TRUE
"ACADSB",0.723576987664662,0.223031936257823,TRUE
"ACAT1",0.682939688258999,0.292185206861671,TRUE
"ACBD4",0.737798118400912,0.303849573605338,TRUE
"ACKR2",0.761992384622352,0.231869535997136,TRUE
"ACMSD",0.629648296238929,0.162910481191304,TRUE
"ACOT12",0.763124168577247,0.19109055575958,TRUE
"ACOT13",0.665018389484317,0.10386717752446,FALSE
"ACOT2",0.608288199813839,0.315024219814547,TRUE
"ACOT4",0.696838782329927,0.114579990557976,FALSE
"ACOX1",0.755367076937382,0.233295795285861,TRUE
"ACOX2",0.85588019072566,0.227522550090627,TRUE
"ACSF2",0.613862741367073,0.163757314133954,TRUE
"ACSL1",0.720739091984054,0.310694503512769,TRUE
"ACSL5",0.612592793965891,0.185503151376072,TRUE
"ACSM2A",0.908083178324084,0.276972763979556,TRUE
"ACSM2B",0.893701528471484,0.278499637057645,TRUE
"ACSM5",0.748537588327657,0.297990479441605,TRUE
"ACY3",0.646108646220042,0.203357972857962,TRUE
"ADGRG7",0.553957777657637,0.147944511118397,FALSE
"ADH1A",0.702355329156067,0.185735678749796,TRUE
"ADH1B",0.771404473984609,0.293337073312458,TRUE
"ADH1C",0.576349709436263,0.197579655334907,FALSE
"ADH4",0.69744726928456,0.247259952155017,TRUE
"ADH5",0.59052848215503,0.100851898693947,FALSE
"ADH6",0.800016430224473,0.196077077245925,TRUE
"ADHFE1",0.703913791989837,0.152737119903299,TRUE
"ADI1",0.764010401187987,0.24830979034066,TRUE
"ADK",0.57754309939525,0.214184541807016,FALSE
"ADORA2A",0.536468098125336,0.0359699479555747,FALSE
"ADORA2A.AS1",0.711550233966877,0.110751911900328,FALSE
"ADRB2",0.678508001510623,0.232630142846341,TRUE
"AFM",0.756009636992941,0.23606247335226,TRUE
"AFMID",0.605964581753488,0.145723360658735,FALSE
"AGMAT",0.7288934356437,0.167548762290401,TRUE
"AGMO",0.801759410962139,0.158907023090486,TRUE
"AGT",0.443505475396611,0.033013700771524,FALSE
"AGXT",0.811666720748988,0.210273799621731,TRUE
"AGXT2",0.736970195008986,0.219514074634204,TRUE
"AHSG",0.714860628098804,0.142050380652481,FALSE
"AIG1",0.673490874978269,0.202718302807388,TRUE
"AKR1C4",0.677886386768225,0.0770544905186193,FALSE
"AKR1D1",0.646417907468144,0.240961611005706,TRUE
"AKR7A3",0.594980235400506,0.203683747427764,FALSE
"ALAD",0.706420599579854,0.26406334861058,TRUE
"ALAS1",0.689808167413926,0.190306036860234,TRUE
"ALB",0.667038973565719,0.169628529748364,TRUE
"ALDH1A1",0.656643599169993,0.110204032577271,FALSE
"ALDH1L1",0.683731616788013,0.143514247490747,FALSE
"ALDH1L1.AS2",0.563016329109777,0.066307424505288,FALSE
"ALDH2",0.832836246518015,0.287712795880977,TRUE
"ALDH3A2",0.56808394230785,0.115375324570439,FALSE
"ALDH4A1",0.616847576478196,0.240612842562495,TRUE
"ALDH5A1",0.823777526153762,0.231333295933459,TRUE
"ALDH6A1",0.821069929563873,0.282616467063181,TRUE
"ALDH7A1",0.730232761453619,0.136716276043083,FALSE
"ALDH7A1P1",0.520690512926264,0.168207171132408,FALSE
"ALDH8A1",0.697156914931353,0.187096533458197,TRUE
"ALDH9A1",0.679743282612644,0.274192766552212,TRUE
"ALDOB",0.73007163503069,0.210314192952738,TRUE
"AMBP",0.739706204489,0.121057749800272,FALSE
"AMDHD1",0.75941465155591,0.144217679324487,FALSE
"ANG",0.732266704637098,0.221863913087754,TRUE
"ANGPTL3",0.762809074426,0.0774433067892727,FALSE
"ANGPTL8",0.393294653876263,0.0805308838435233,FALSE
"ANKRD13D",0.623951875328411,0.227155157120855,TRUE
"ANKS4B",0.575143038712475,0.0819176768248511,FALSE
"ANXA10",0.608493233972465,0.29793297408303,TRUE
"ANXA6",0.555974060620743,0.153661274432968,FALSE
"AOX1",0.567547482367626,0.169615103627722,FALSE
"APOA1",0.663311808122795,0.0730471881333041,FALSE
"APOA2",0.673197715912032,0.0782968805539352,FALSE
"APOA5",0.807731792841904,0.239323239656925,TRUE
"APOB",0.75624643752131,0.127850766190441,FALSE
"APOC1",0.683969823325084,0.129373734525941,FALSE
