"","MM","GS","group"
"ABCA9",0.520702976482412,0.230556128258564,FALSE
"ABHD3",0.393019246721304,0.043557190109043,FALSE
"ABLIM3",0.397612120746626,0.0281500193238362,FALSE
"ACAD8",0.404823649263115,0.136648150352334,FALSE
"ACBD7",0.410300615063547,0.0739759972704831,FALSE
"ACER1",0.388429247084178,0.0878267832523826,FALSE
"ACP4",0.429780203184984,0.0882061536574563,FALSE
"ACRV1",0.653033032280564,0.108571892891387,FALSE
"ACYP1",0.498816912152717,0.18070878456895,FALSE
"ACYP2",0.644956085816024,0.115333972652172,FALSE
"ADM2",0.354500761422975,0.0487346964534878,FALSE
"AK3",0.471082702469784,0.0968654544768182,FALSE
"AKAIN1",0.425551105394786,0.102492810734118,FALSE
"AKTIP",0.432580575040694,0.0074120165644766,FALSE
"ALYREF",0.499759757674493,0.103900432345113,FALSE
"ANKLE1",0.422518794620089,0.0263848268556226,FALSE
"ANKLE2",0.543423257192523,0.137609862435553,FALSE
"ANKRD24",0.557522949126212,0.18138072243696,FALSE
"ANKRD27",0.380021426030671,0.130482454390973,FALSE
"ANKRD52",0.550679723648416,0.18146373306944,FALSE
"ANLN",0.892593333013032,0.241722968377702,TRUE
"ANP32E",0.482852352324289,0.156140076807571,FALSE
"AP3S2",0.391657652166984,0.0614624258148907,FALSE
"ARHGAP11A",0.890077779219506,0.15391502113496,TRUE
"ARHGAP11B",0.567288132655716,0.0480416646184339,FALSE
"ARHGAP19",0.387077710541898,0.00757061356922859,FALSE
"ARHGAP33",0.614034853866836,0.0899068503676154,FALSE
"ARHGEF39",0.815043851754736,0.121981784544953,FALSE
"ARID3B",0.417940099652069,0.000819475067910648,FALSE
"ARL6IP6",0.563375490173237,0.237114827294393,FALSE
"ASB11",0.320006433943431,0.0962747678451676,FALSE
"ASF1B",0.874104088318031,0.191413346461224,TRUE
"ASPM",0.824205694428006,0.14082474757437,FALSE
"ASRGL1",0.512402931806283,0.110076382985295,FALSE
"ASXL1",0.474236255215106,0.132171646579671,FALSE
"ATAD2",0.513304907556402,0.0251700843399955,FALSE
"ATAD5",0.868790131806821,0.135022836534942,FALSE
"ATAT1",0.395816486078631,0.14366007730834,FALSE
"ATF3",0.32322579716455,0.11481962312773,FALSE
"ATG4A",0.463794249281944,0.0894183089453066,FALSE
"ATMIN",0.443658490048274,0.0156606513725216,FALSE
"ATOH8",0.531067346582769,0.0336122831301639,FALSE
"ATP6",0.437651027533852,0.10199438323812,FALSE
"ATXN3",0.373929214571977,0.117055976795258,FALSE
"AUH",0.423286396567178,0.0850875137519862,FALSE
"AUNIP",0.714108661022076,0.141734343936476,FALSE
"AURKA",0.648251822004444,0.103720672738783,FALSE
"AURKB",0.823409647699647,0.130664145041801,FALSE
"BARD1",0.796496573959479,0.227588356814587,TRUE
"BBOX1.AS1",0.388884984394037,0.109536617634871,FALSE
"BCO2",0.470298223006437,0.0677822501160256,FALSE
"BCORL1",0.463960876595446,0.169856321863489,FALSE
"BDNF.AS",0.40827447945272,0.199760141447552,FALSE
"BEND3",0.606341533502204,0.189761304274791,TRUE
"BFSP1",0.457069621943859,0.159115090001309,FALSE
"BIRC5",0.852326093390696,0.184890844902712,TRUE
"BLM",0.777927190651005,0.140181305852115,FALSE
"BNIP3P11",0.518174184869578,0.0290060395773789,FALSE
"BNIP3P17",0.483257879131644,0.132763706438528,FALSE
"BORA",0.552563425986663,0.0936188208314153,FALSE
"BRCA1",0.772007637667808,0.189490041838526,TRUE
"BRCA2",0.737760836452434,0.114404976647641,FALSE
"BRD9",0.403147955024758,0.105076414308366,FALSE
"BRI3BP",0.507356385829917,0.178560277254585,FALSE
"BRICD5",0.312342974713324,0.0363559161014275,FALSE
"BRIP1",0.630330344581305,0.0925297952298253,FALSE
"BTNL9",0.581497947283524,0.205811767911172,FALSE
"BUB1",0.897803675848107,0.199114960642797,TRUE
"BUB1B",0.90168945806609,0.193547014727462,TRUE
"BUB3",0.404428262351031,0.0594486240201093,FALSE
"C10orf143",0.560800535634344,0.134302543538935,FALSE
"C14orf28",0.454323884897197,0.0775926312028822,FALSE
"C18orf54",0.614994900963017,0.131441823334963,FALSE
"C1orf21.DT",0.329864224517867,0.0971196136173053,FALSE
"C1QTNF9",0.376234679773243,0.0607502989770476,FALSE
"C21orf58",0.713733273539997,0.0989447473856734,FALSE
"C4orf3",0.443323615537438,0.0183469015502461,FALSE
"C4orf46",0.757156746261205,0.212542056013689,TRUE
"C5orf34",0.806807047117675,0.192023751780035,TRUE
"C9orf40",0.377530388147801,0.10973911331984,FALSE
"CABLES2",0.515604733609466,0.049412050073281,FALSE
"CABP7",0.391138668712462,0.0771389168889446,FALSE
"CAD",0.499465184832829,0.179964291827319,FALSE
"CALCR",0.376302023708849,0.126730708019037,FALSE
"CAMK1D",0.35877859682473,0.00740480676447772,FALSE
"CANT1",0.441119587435484,0.201987697404094,FALSE
"CASP2",0.676283570843376,0.159931562577634,TRUE
"CBFA2T2",0.623651665823277,0.147244448373284,FALSE
"CBR4",0.576215653892789,0.172686167693815,FALSE
"CBX1",0.745323943436761,0.203062907855409,TRUE
"CBX2",0.40493714042011,0.206078153395985,FALSE
"CCDC134",0.428551936811744,0.115722722018932,FALSE
"CCDC138",0.494423862507776,0.101145596109207,FALSE
"CCDC150",0.424515715274837,0.0352812615351604,FALSE
"CCDC163",0.607099571888416,0.120304195091891,FALSE
"CCDC18",0.452672931541532,0.0370158073148909,FALSE
"CCDC34",0.526281008709827,0.143583167514288,FALSE
"CCDC43",0.434853937020644,0.161540123218665,FALSE
"CCDC77",0.373199593752651,0.104048729016876,FALSE
"CCDC88A",0.441831462286269,0.0845221523806766,FALSE
"CCDC97",0.494964985711558,0.120324734167914,FALSE
"CCNA2",0.793591925120792,0.139976990133367,FALSE
"CCNB1",0.868165561210835,0.177414982999282,TRUE
"CCNB2",0.88656422703686,0.161313601988012,TRUE
"CCND1",0.364626652371888,0.0838614857295795,FALSE
"CCNE1",0.641134851029819,0.127147607940013,FALSE
"CCNE2",0.586424884520592,0.0558399051375255,FALSE
"CCNF",0.861155410095457,0.191457608460036,TRUE
"CCPG1",0.492065425703251,0.082983850490821,FALSE
"CCSAP",0.549313881654101,0.0881101764536544,FALSE
"CCT6A",0.389804154889103,0.145025595681723,FALSE
"CD300LG",0.563430292008951,0.178576244407077,FALSE
"CD59",0.417794150174042,0.0167120442586509,FALSE
"CD81",0.482079525888701,0.0398609718421613,FALSE
"CDADC1",0.487057368360553,0.126052097842246,FALSE
"CDC20",0.874101027009269,0.187684832936602,TRUE
"CDC25A",0.843960334597593,0.162200151417711,TRUE
"CDC25B",0.567062098050152,0.123178156447459,FALSE
"CDC25C",0.815294543843549,0.120524073030595,FALSE
"CDC37L1",0.593937191590753,0.0919162740243872,FALSE
"CDC45",0.856461918510018,0.152216533980638,TRUE
"CDC6",0.885674732110788,0.196281866915957,TRUE
"CDC7",0.784042475873155,0.112077959004552,FALSE
"CDCA2",0.877547858552396,0.209359289693314,TRUE
"CDCA3",0.856599051536936,0.16758846626485,TRUE
"CDCA4",0.80115826235127,0.218035094794773,TRUE
"CDCA5",0.878996740231384,0.166726364034942,TRUE
"CDCA7",0.590553193875571,0.192204624977085,FALSE
"CDCA8",0.912718846563497,0.170164556887714,TRUE
"CDH24",0.395795240716615,0.0389861118541817,FALSE
"CDK1",0.909561734423391,0.186139134665081,TRUE
"CDK2",0.704910075172474,0.14592833900706,FALSE
"CDK4",0.513959439698023,0.139937008505306,FALSE
"CDKAL1",0.399444493979356,0.0717249713788816,FALSE
"CDKN2A",0.403646544960563,0.110361592496803,FALSE
"CDKN2B.AS1",0.447198160214045,0.0512363608745134,FALSE
"CDKN2C",0.530062392764843,0.158742145907979,FALSE
"CDKN2D",0.339947028091668,0.0913515560798177,FALSE
"CDKN3",0.809782985443426,0.126920793607494,FALSE
"CDNF",0.456608046951857,0.128243692109921,FALSE
"CDT1",0.829804823627266,0.156452081395201,TRUE
"CENPA",0.894911603369879,0.211664608673347,TRUE
"CENPE",0.870457252578437,0.194555586957007,TRUE
"CENPF",0.884817440689297,0.193228855068671,TRUE
"CENPH",0.784368801094877,0.157590066155732,TRUE
"CENPI",0.871223447658441,0.204351571582715,TRUE
"CENPJ",0.640916159092356,0.120663482042877,FALSE
"CENPK",0.843062038525474,0.159008201008713,TRUE
"CENPL",0.830486425650491,0.197479462807068,TRUE
"CENPM",0.803426677536666,0.155110940104232,TRUE
"CENPO",0.783390260879192,0.222943315448562,TRUE
"CENPP",0.493607480029871,0.142915112837132,FALSE
"CENPQ",0.660482783874874,0.168370516126233,TRUE
"CENPU",0.710274302735447,0.099133793701596,FALSE
"CENPW",0.741935758326327,0.158746129197227,TRUE
"CEP131",0.621279194212914,0.153441108610322,TRUE
"CEP152",0.612320721988723,0.11135776526464,FALSE
"CEP19",0.423371147503155,0.103271753364593,FALSE
"CEP250",0.630788179284371,0.167453220978145,TRUE
"CEP55",0.880966615215237,0.220405232476312,TRUE
"CEP72",0.42986257410918,0.0798786589066873,FALSE
"CEP78",0.622263037792391,0.137851798773413,FALSE
"CFAP68",0.450390445161112,0.066583509412645,FALSE
"CFI",0.581056152398621,0.153385232446195,FALSE
"CHAF1A",0.722163373580318,0.125708959204921,FALSE
"CHAF1B",0.847041727451566,0.184976475955966,TRUE
"CHEK1",0.889929548029259,0.222543590646534,TRUE
"CHEK2",0.376047112446909,0.0317790249448949,FALSE
"CHORDC1",0.425637417930657,0.180330952549918,FALSE
"CHTF18",0.65878835904045,0.107147326813489,FALSE
"CIP2A",0.889538279184453,0.191612190551455,TRUE
"CIT",0.738296633457002,0.171657671218799,TRUE
"CKAP2",0.651618129363133,0.136236449361116,FALSE
"CKAP2L",0.898814641410666,0.20905390412141,TRUE
"CKAP4",0.502978482413246,0.117448143754315,FALSE
"CKAP5",0.637083971803265,0.134430902001179,FALSE
"CKS2",0.656508779978299,0.205434340624546,TRUE
"CLDN18",0.445327713300541,0.163715007669522,FALSE
"CLGN",0.402974920649796,0.0712072450820668,FALSE
"CLSPN",0.887081935552592,0.179888009060416,TRUE
"CNDP2",0.459149458106462,0.0485035258990268,FALSE
"CNIH2",0.44362533712839,0.0568521016175923,FALSE
"CNOT10",0.411714764375726,0.0490321533414546,FALSE
"CNOT9",0.592046001558129,0.159515300738693,FALSE
"CNTNAP1",0.41395336036676,0.1080357682811,FALSE
"COMMD2",0.539220492565611,0.0825972936247169,FALSE
"COQ10B",0.360997145190108,0.0625030669005975,FALSE
"COQ9",0.507522090885901,0.0628743564657049,FALSE
"COX1",0.450701874890118,0.107420281608854,FALSE
"COX18",0.545889813566662,0.0877330187077,FALSE
"COX3",0.46218798345663,0.088462081316092,FALSE
"CPO",0.437222566464217,0.0154117286699034,FALSE
"CPSF6",0.680253615708575,0.227887785503959,TRUE
"CSE1L",0.505779689979233,0.169408420716327,FALSE
"CSPG5",0.388193929944934,0.128674791747406,FALSE
"CSRNP1",0.424125727771847,0.139082794584361,FALSE
"CSTF2",0.46019303232433,0.149689153084365,FALSE
"CSTF3.DT",0.403965593583656,0.00179192193843152,FALSE
"CTIF",0.374666354441177,0.00248702959696542,FALSE
"CTSO",0.557698493548867,0.184440825309675,FALSE
"CTSV",0.570957974949879,0.137141503716163,FALSE
"CUX1",0.418750066067912,0.0285728400189277,FALSE
"CWC27",0.35487855757802,0.0671823948186882,FALSE
"CYB5D2",0.64268092740873,0.173015193347833,TRUE
"DAND5",0.476965331273808,0.11931492930478,FALSE
"DBF4",0.749068014697597,0.231166846939479,TRUE
"DBF4B",0.759803611271156,0.138882378158382,FALSE
"DCAF16",0.528867453737353,0.146933331855315,FALSE
"DCLRE1B",0.607824459719311,0.143916861179861,FALSE
"DCLRE1C",0.581266417409968,0.114759294987593,FALSE
"DCP2",0.3671801863986,0.0216643436664358,FALSE
"DDIAS",0.707864852484507,0.185428465490741,TRUE
"DDX11",0.633457599706484,0.0675442433165227,FALSE
"DDX11.AS1",0.724157444223481,0.099889471209249,FALSE
"DDX23",0.416938226709447,0.122296685339809,FALSE
"DEK",0.496658278291857,0.0901008618805612,FALSE
"DENND4B",0.459630539434677,0.0501823905625606,FALSE
"DENR",0.44745069236905,0.100170652377148,FALSE
"DEPDC1",0.867276202895804,0.179137602605929,TRUE
"DEPDC1.AS1",0.545544539356521,0.127608119103541,FALSE
"DEPDC1B",0.843814507155872,0.156297442199495,TRUE
"DEPP1",0.350641289395881,0.0406085440195682,FALSE
"DFFBP1",0.370284963092538,0.0652790904022252,FALSE
"DGKZP1",0.353281994365968,0.169095761727626,FALSE
"DHDH",0.459391580878521,0.160090779310325,FALSE
"DHODH",0.624334293450574,0.151951564455508,TRUE
"DHX37",0.411857081229761,0.136995251761143,FALSE
"DIAPH3",0.634600567814877,0.102919326871389,FALSE
"DKC1",0.385694006648648,0.147243519909752,FALSE
"DLGAP5",0.882507542789072,0.214690322912401,TRUE
"DLK2",0.382807661770285,0.12883133826289,FALSE
"DLST",0.431440204073374,0.122063086805615,FALSE
"DMC1",0.517544935672132,0.0986463149367117,FALSE
"DNA2",0.647901745529645,0.138548414356202,FALSE
"DNASE1L3",0.624124808881378,0.216233702432331,TRUE
"DNMT1",0.746580771428279,0.108726292279833,FALSE
"DNMT3B",0.651779647783754,0.0703115224159898,FALSE
"DONSON",0.628249357070984,0.0680092015778529,FALSE
"DOT1L",0.505089037522307,0.073498459607393,FALSE
"DPF2",0.408019836478046,0.100276528826128,FALSE
"DQX1",0.497671392056706,0.129862576289945,FALSE
"DR1",0.46814563702126,0.198758145506861,FALSE
"DROSHA",0.479808961812401,0.155359716232458,FALSE
"DSCC1",0.628726456599972,0.0825199633051324,FALSE
"DSG2",0.461043239959549,0.119128982041693,FALSE
"DSN1",0.708808567019864,0.122289429372621,FALSE
"DTL",0.869257891062394,0.158075583087198,TRUE
"DTYMK",0.544897004263215,0.13702068857334,FALSE
"DUSP9",0.454771971385649,0.129655904506642,FALSE
"DVL3",0.555840391054833,0.127527726363804,FALSE
"DYNC1LI1",0.304361787315863,0.0696183075339478,FALSE
"DYNLRB2",0.342911329221076,0.0697611438508681,FALSE
"E2F1",0.779913706414939,0.138876721982274,FALSE
"E2F2",0.832490981102642,0.162250207518106,TRUE
"E2F3",0.473506565006585,0.184631672527907,FALSE
"E2F6",0.554136297630797,0.179868043833008,FALSE
"E2F7",0.681135014035025,0.149054014228961,FALSE
"E2F8",0.835131592994412,0.0931892302519407,FALSE
"ECT2",0.852328138183678,0.224362415546573,TRUE
"EDC3",0.418384497169372,0.131733248881526,FALSE
"EED",0.41216788866309,0.1559841787346,FALSE
"EFCAB6",0.409333658858376,0.0484915650476266,FALSE
"EFTUD2",0.470456255617627,0.168907176641158,FALSE
"EHMT2.AS1",0.471303264913137,0.0923267488834071,FALSE
"EIF5",0.366537468165576,0.0866730908559585,FALSE
"ELFN1",0.46211535391948,0.211332708502085,FALSE
"ELOVL3",0.425986426850677,0.210748647794256,FALSE
"EME1",0.872040799932257,0.126360501426067,FALSE
"ENAH",0.345369897096027,0.0994320529472773,FALSE
"EPPK1",0.42778451068308,0.0304246429632517,FALSE
"ERCC6L",0.895823588104077,0.216255577512016,TRUE
"ERI1",0.332028226431538,0.0884674739358043,FALSE
"ESCO2",0.75543367212196,0.15523270142817,TRUE
"ESPL1",0.727604016766056,0.10829640357969,FALSE
"ETFA",0.557312513863722,0.115539201507213,FALSE
"EWSR1",0.401264053787428,0.0652752813793696,FALSE
"EXO1",0.887986630092892,0.186049179760025,TRUE
"EXO5",0.425237269878556,0.0416967190222522,FALSE
"EXOG",0.363721562410933,0.105098859811716,FALSE
"EZH2",0.872202937339207,0.171669771394698,TRUE
"FAAP24",0.610250951819828,0.095924572649453,FALSE
"FABP4",0.505164354831975,0.137848079789054,FALSE
"FABP6",0.361088473106484,0.139210410781438,FALSE
"FAM107A",0.530633818380701,0.214063908019915,FALSE
"FAM111A",0.39138667459134,0.0317076948596749,FALSE
"FAM111B",0.698401181191389,0.0847654769781745,FALSE
"FAM200C",0.547309495510307,0.210430529887184,FALSE
"FAM20C",0.376829588113237,0.0435195216668454,FALSE
"FAM222A",0.375243739594923,0.016890356229869,FALSE
"FAM24B",0.441788791224804,0.071641526764628,FALSE
"FAM43A",0.422082398442241,0.0437456943202259,FALSE
"FAM72A",0.800003544374384,0.143624037363252,FALSE
"FAM72B",0.818814454814314,0.113066595719388,FALSE
"FAM72D",0.767700130222362,0.183564930883735,TRUE
"FAM83D",0.572880982028929,0.108839563438541,FALSE
"FANCA",0.553456472242006,0.0596827902460315,FALSE
"FANCB",0.832035810970007,0.174034965558098,TRUE
"FANCD2",0.910132534648859,0.158649162732241,TRUE
"FANCE",0.709220413700712,0.18832087728766,TRUE
"FANCG",0.607586046553965,0.0986950986650274,FALSE
"FANCI",0.891738092697228,0.181280493326176,TRUE
"FBXL19.AS1",0.422957463621118,0.149316953259265,FALSE
"FBXO43",0.761015225146943,0.0739187242755877,FALSE
"FBXO45",0.475806968342489,0.135145943465398,FALSE
"FBXO5",0.737952492911054,0.181151234653337,TRUE
"FBXO8",0.406074032941943,0.0736170568963877,FALSE
"FDPSP8",0.365355833222029,0.11556888753162,FALSE
"FEN1",0.756498983443332,0.138813557220847,FALSE
"FER1L4",0.464880603833055,0.145111905833143,FALSE
"FER1L5",0.48526453441111,0.0987998314041678,FALSE
"FIGNL1",0.561806454445454,0.136442073356483,FALSE
