"","MM","GS","group"
"ABCA9",0.520702976482412,0.22219209907876,FALSE
"ABHD3",0.393019246721304,0.0339106611400759,FALSE
"ABLIM3",0.397612120746626,0.0395726036574713,FALSE
"ACAD8",0.404823649263115,0.144845956272595,FALSE
"ACBD7",0.410300615063547,0.102034111718302,FALSE
"ACER1",0.388429247084178,0.0992679510640262,FALSE
"ACP4",0.429780203184984,0.0571893676611818,FALSE
"ACRV1",0.653033032280564,0.133256914312538,FALSE
"ACYP1",0.498816912152717,0.1665861764314,FALSE
"ACYP2",0.644956085816024,0.0939035731167994,FALSE
"ADM2",0.354500761422975,0.0523790071328529,FALSE
"AK3",0.471082702469784,0.121513522484838,FALSE
"AKAIN1",0.425551105394786,0.0960566292277411,FALSE
"AKTIP",0.432580575040694,0.0171709332241615,FALSE
"ALYREF",0.499759757674493,0.121618782611472,FALSE
"ANKLE1",0.422518794620089,0.0135615493726979,FALSE
"ANKLE2",0.543423257192523,0.147414828394131,FALSE
"ANKRD24",0.557522949126212,0.170999561351092,FALSE
"ANKRD27",0.380021426030671,0.135948780847224,FALSE
"ANKRD52",0.550679723648416,0.167978886352896,FALSE
"ANLN",0.892593333013032,0.26617050419615,TRUE
"ANP32E",0.482852352324289,0.16748282321563,FALSE
"AP3S2",0.391657652166984,0.0383339907123712,FALSE
"ARHGAP11A",0.890077779219506,0.198022354115424,TRUE
"ARHGAP11B",0.567288132655716,0.049586817863071,FALSE
"ARHGAP19",0.387077710541898,0.0199337117113524,FALSE
"ARHGAP33",0.614034853866836,0.109966601614623,FALSE
"ARHGEF39",0.815043851754736,0.147291723131478,FALSE
"ARID3B",0.417940099652069,0.00758432947383621,FALSE
"ARL6IP6",0.563375490173237,0.226900670460666,FALSE
"ASB11",0.320006433943431,0.124108639331275,FALSE
"ASF1B",0.874104088318031,0.220921283795168,TRUE
"ASPM",0.824205694428006,0.187933666071245,TRUE
"ASRGL1",0.512402931806283,0.0946606671128718,FALSE
"ASXL1",0.474236255215106,0.134937576610926,FALSE
"ATAD2",0.513304907556402,0.00349594384271312,FALSE
"ATAD5",0.868790131806821,0.158149614411404,TRUE
"ATAT1",0.395816486078631,0.110896969736748,FALSE
"ATF3",0.32322579716455,0.0789936890678973,FALSE
"ATG4A",0.463794249281944,0.113312756521998,FALSE
"ATMIN",0.443658490048274,0.0213388211828905,FALSE
"ATOH8",0.531067346582769,0.0481845765275505,FALSE
"ATP6",0.437651027533852,0.104044089575309,FALSE
"ATXN3",0.373929214571977,0.121827262088215,FALSE
"AUH",0.423286396567178,0.122650606814607,FALSE
"AUNIP",0.714108661022076,0.189814501400801,TRUE
"AURKA",0.648251822004444,0.092871939589921,FALSE
"AURKB",0.823409647699647,0.15769423885918,TRUE
"BARD1",0.796496573959479,0.257249947008368,TRUE
"BBOX1.AS1",0.388884984394037,0.0886606776334685,FALSE
"BCO2",0.470298223006437,0.0442552435115612,FALSE
"BCORL1",0.463960876595446,0.150904066527845,FALSE
"BDNF.AS",0.40827447945272,0.204292636266075,FALSE
"BEND3",0.606341533502204,0.187548152242977,TRUE
"BFSP1",0.457069621943859,0.143440328904593,FALSE
"BIRC5",0.852326093390696,0.222607418387997,TRUE
"BLM",0.777927190651005,0.149378823143379,FALSE
"BNIP3P11",0.518174184869578,0.0572479573516809,FALSE
"BNIP3P17",0.483257879131644,0.128476025418602,FALSE
"BORA",0.552563425986663,0.0778836749698232,FALSE
"BRCA1",0.772007637667808,0.197220422245271,TRUE
"BRCA2",0.737760836452434,0.143232093160663,FALSE
"BRD9",0.403147955024758,0.0900981769999785,FALSE
"BRI3BP",0.507356385829917,0.185703333741568,FALSE
"BRICD5",0.312342974713324,0.0415768994987002,FALSE
"BRIP1",0.630330344581305,0.132085134274,FALSE
"BTNL9",0.581497947283524,0.212773108629617,FALSE
"BUB1",0.897803675848107,0.236406862994782,TRUE
"BUB1B",0.90168945806609,0.219025895057132,TRUE
"BUB3",0.404428262351031,0.0177209235060282,FALSE
"C10orf143",0.560800535634344,0.149527924671282,FALSE
