"","MM","GS","group"
"ABCA9",0.520702976482412,0.202260585598887,FALSE
"ABHD3",0.393019246721304,0.122854485057952,FALSE
"ABLIM3",0.397612120746626,0.0885375391840263,FALSE
"ACAD8",0.404823649263115,0.195898941383439,FALSE
"ACBD7",0.410300615063547,0.0927365385649241,FALSE
"ACER1",0.388429247084178,0.155923433643169,FALSE
"ACP4",0.429780203184984,0.144434599006955,FALSE
"ACRV1",0.653033032280564,0.282814863499544,TRUE
"ACYP1",0.498816912152717,0.209915223426991,FALSE
"ACYP2",0.644956085816024,0.262205011126255,TRUE
"ADM2",0.354500761422975,0.183017340424591,FALSE
"AK3",0.471082702469784,0.296888190564157,FALSE
"AKAIN1",0.425551105394786,0.269071048062711,FALSE
"AKTIP",0.432580575040694,0.209979222556176,FALSE
"ALYREF",0.499759757674493,0.222094471439647,FALSE
"ANKLE1",0.422518794620089,0.140205514641407,FALSE
"ANKLE2",0.543423257192523,0.2303274046366,FALSE
"ANKRD24",0.557522949126212,0.244325285379894,FALSE
"ANKRD27",0.380021426030671,0.188306744204566,FALSE
"ANKRD52",0.550679723648416,0.194096936898927,FALSE
"ANLN",0.892593333013032,0.306174014844459,TRUE
"ANP32E",0.482852352324289,0.132954131519094,FALSE
"AP3S2",0.391657652166984,0.174053611775772,FALSE
"ARHGAP11A",0.890077779219506,0.313872947854433,TRUE
"ARHGAP11B",0.567288132655716,0.23313248621467,FALSE
"ARHGAP19",0.387077710541898,0.151456458489748,FALSE
"ARHGAP33",0.614034853866836,0.198498141571828,TRUE
"ARHGEF39",0.815043851754736,0.345973935817518,TRUE
"ARID3B",0.417940099652069,0.104498822746555,FALSE
"ARL6IP6",0.563375490173237,0.127039526463494,FALSE
"ASB11",0.320006433943431,0.0185378501735684,FALSE
"ASF1B",0.874104088318031,0.277240466318451,TRUE
"ASPM",0.824205694428006,0.287494245909043,TRUE
"ASRGL1",0.512402931806283,0.222085548971572,FALSE
"ASXL1",0.474236255215106,0.21006048491118,FALSE
"ATAD2",0.513304907556402,0.263625037339191,FALSE
"ATAD5",0.868790131806821,0.279573608712231,TRUE
"ATAT1",0.395816486078631,0.0735729839071945,FALSE
"ATF3",0.32322579716455,0.162231608325697,FALSE
"ATG4A",0.463794249281944,0.308803435654955,FALSE
"ATMIN",0.443658490048274,0.138567522912076,FALSE
"ATOH8",0.531067346582769,0.220211505959286,FALSE
"ATP6",0.437651027533852,0.143957488034158,FALSE
"ATXN3",0.373929214571977,0.19792757558946,FALSE
"AUH",0.423286396567178,0.180555454283848,FALSE
"AUNIP",0.714108661022076,0.194476050356026,TRUE
"AURKA",0.648251822004444,0.231799315713826,TRUE
"AURKB",0.823409647699647,0.338636457468505,TRUE
"BARD1",0.796496573959479,0.16742191522573,TRUE
"BBOX1.AS1",0.388884984394037,0.267065347665744,FALSE
"BCO2",0.470298223006437,0.280985230369061,FALSE
"BCORL1",0.463960876595446,0.124318582533981,FALSE
"BDNF.AS",0.40827447945272,0.138560713816601,FALSE
"BEND3",0.606341533502204,0.285514493272786,TRUE
"BFSP1",0.457069621943859,0.159885858051349,FALSE
"BIRC5",0.852326093390696,0.319818748159211,TRUE
"BLM",0.777927190651005,0.286342483633346,TRUE
"BNIP3P11",0.518174184869578,0.206775782132738,FALSE
"BNIP3P17",0.483257879131644,0.152001158698492,FALSE
"BORA",0.552563425986663,0.154818463171947,FALSE
"BRCA1",0.772007637667808,0.216416456891631,TRUE
"BRCA2",0.737760836452434,0.23917773003963,TRUE
"BRD9",0.403147955024758,0.169840318101763,FALSE
"BRI3BP",0.507356385829917,0.0939354840025629,FALSE
"BRICD5",0.312342974713324,0.0720590138290006,FALSE
"BRIP1",0.630330344581305,0.0976402634744956,FALSE
"BTNL9",0.581497947283524,0.263476160824789,FALSE
"BUB1",0.897803675848107,0.33117155498854,TRUE
"BUB1B",0.90168945806609,0.310680909168672,TRUE
"BUB3",0.404428262351031,0.16860594001916,FALSE
"C10orf143",0.560800535634344,0.22515658037642,FALSE
"C14orf28",0.454323884897197,0.189916088655605,FALSE
"C18orf54",0.614994900963017,0.239459882872927,TRUE
"C1orf21.DT",0.329864224517867,0.221364916146855,FALSE
"C1QTNF9",0.376234679773243,0.108958824929263,FALSE
"C21orf58",0.713733273539997,0.18383378972979,TRUE
"C4orf3",0.443323615537438,0.219502888633164,FALSE
"C4orf46",0.757156746261205,0.212114853049392,TRUE
"C5orf34",0.806807047117675,0.294056776373872,TRUE
"C9orf40",0.377530388147801,0.141619838326162,FALSE
"CABLES2",0.515604733609466,0.0811526386626929,FALSE
"CABP7",0.391138668712462,0.11255705392879,FALSE
"CAD",0.499465184832829,0.166728917765324,FALSE
"CALCR",0.376302023708849,0.0694007752278892,FALSE
"CAMK1D",0.35877859682473,0.115983106145192,FALSE
"CANT1",0.441119587435484,0.144039794461495,FALSE
"CASP2",0.676283570843376,0.245172442955057,TRUE
"CBFA2T2",0.623651665823277,0.198673441764744,TRUE
"CBR4",0.576215653892789,0.312483615993581,FALSE
"CBX1",0.745323943436761,0.188793478850173,TRUE
"CBX2",0.40493714042011,0.246093909874829,FALSE
"CCDC134",0.428551936811744,0.155645236054647,FALSE
"CCDC138",0.494423862507776,0.253039645744312,FALSE
"CCDC150",0.424515715274837,0.0821155247311027,FALSE
"CCDC163",0.607099571888416,0.155349464158692,TRUE
"CCDC18",0.452672931541532,0.0420183644289486,FALSE
"CCDC34",0.526281008709827,0.167736489100618,FALSE
"CCDC43",0.434853937020644,0.205649823556802,FALSE
"CCDC77",0.373199593752651,0.174852441051109,FALSE
"CCDC88A",0.441831462286269,0.0925341564654042,FALSE
"CCDC97",0.494964985711558,0.244648816744296,FALSE
"CCNA2",0.793591925120792,0.230984799246485,TRUE
"CCNB1",0.868165561210835,0.355704774044578,TRUE
"CCNB2",0.88656422703686,0.339220523433206,TRUE
"CCND1",0.364626652371888,0.147760616261878,FALSE
"CCNE1",0.641134851029819,0.203193519093945,TRUE
"CCNE2",0.586424884520592,0.20503501074545,FALSE
"CCNF",0.861155410095457,0.294698887922458,TRUE
"CCPG1",0.492065425703251,0.144042143384666,FALSE
"CCSAP",0.549313881654101,0.103336202428265,FALSE
"CCT6A",0.389804154889103,0.24910578733121,FALSE
"CD300LG",0.563430292008951,0.296901069347213,FALSE
"CD59",0.417794150174042,0.0356435079846701,FALSE
"CD81",0.482079525888701,0.238082364645437,FALSE
"CDADC1",0.487057368360553,0.222506820484346,FALSE
"CDC20",0.874101027009269,0.336715367599452,TRUE
"CDC25A",0.843960334597593,0.343318664764737,TRUE
"CDC25B",0.567062098050152,0.206270195943096,FALSE
"CDC25C",0.815294543843549,0.31751816984075,TRUE
"CDC37L1",0.593937191590753,0.251148110744744,FALSE
"CDC45",0.856461918510018,0.320407738425488,TRUE
"CDC6",0.885674732110788,0.277883741227205,TRUE
"CDC7",0.784042475873155,0.23232787442723,TRUE
"CDCA2",0.877547858552396,0.326737141731928,TRUE
"CDCA3",0.856599051536936,0.337878702687571,TRUE
"CDCA4",0.80115826235127,0.255894057107461,TRUE
"CDCA5",0.878996740231384,0.330881779024715,TRUE
"CDCA7",0.590553193875571,0.310474184007584,FALSE
"CDCA8",0.912718846563497,0.307173538758,TRUE
"CDH24",0.395795240716615,0.128398022812828,FALSE
"CDK1",0.909561734423391,0.31251954012538,TRUE
"CDK2",0.704910075172474,0.157891749684688,TRUE
"CDK4",0.513959439698023,0.09789129453227,FALSE
"CDKAL1",0.399444493979356,0.119724100032691,FALSE
"CDKN2A",0.403646544960563,0.0909383914118858,FALSE
"CDKN2B.AS1",0.447198160214045,0.129605260795243,FALSE
"CDKN2C",0.530062392764843,0.0923684262034648,FALSE
